CNC Machine Opened at 07/07/2012 18:38:16
07/07/2012 18:39:02: Drill Location = (0, 0, 18); Message: Received: D
07/07/2012 18:39:02: Drill Location = (0, 0, 18); Message: Data Sent: B
07/07/2012 18:39:02: Drill Location = (0, 0, 18); Message: Data Sent: Z
07/07/2012 18:39:02: Drill Location = (0, 0, 19); Message: Data Sent: E
07/07/2012 18:39:02: Drill Location = (0, 0, 19); Message: Data Sent: BZE
07/07/2012 18:39:02: Drill Location = (0, 0, 19); Message: Received: D
07/07/2012 18:39:02: Drill Location = (0, 0, 19); Message: Data Sent: B
07/07/2012 18:39:02: Drill Location = (0, 0, 19); Message: Data Sent: Z
07/07/2012 18:39:02: Drill Location = (0, 0, 20); Message: Data Sent: E
07/07/2012 18:39:02: Drill Location = (0, 0, 20); Message: Data Sent: BZE
07/07/2012 18:39:03: Drill Location = (0, 0, 20); Message: Received: D
07/07/2012 18:39:03: Drill Location = (0, 0, 20); Message: Data Sent: B
07/07/2012 18:39:03: Drill Location = (0, 0, 20); Message: Data Sent: Z
07/07/2012 18:39:03: Drill Location = (0, 0, 21); Message: Data Sent: E
07/07/2012 18:39:03: Drill Location = (0, 0, 21); Message: Data Sent: BZE
07/07/2012 18:39:03: Drill Location = (0, 0, 21); Message: Received: D
07/07/2012 18:39:03: Drill Location = (0, 0, 21); Message: Data Sent: B
07/07/2012 18:39:03: Drill Location = (0, 0, 21); Message: Data Sent: Z
07/07/2012 18:39:03: Drill Location = (0, 0, 22); Message: Data Sent: E
07/07/2012 18:39:03: Drill Location = (0, 0, 22); Message: Data Sent: BZE
07/07/2012 18:39:04: Drill Location = (0, 0, 22); Message: Received: D
07/07/2012 18:39:04: Drill Location = (0, 0, 22); Message: Data Sent: B
07/07/2012 18:39:04: Drill Location = (0, 0, 22); Message: Data Sent: Z
07/07/2012 18:39:04: Drill Location = (0, 0, 23); Message: Data Sent: E
07/07/2012 18:39:04: Drill Location = (0, 0, 23); Message: Data Sent: BZE
07/07/2012 18:39:04: Drill Location = (0, 0, 23); Message: Received: D
07/07/2012 18:39:04: Drill Location = (0, 0, 23); Message: Data Sent: B
07/07/2012 18:39:04: Drill Location = (0, 0, 23); Message: Data Sent: Z
07/07/2012 18:39:04: Drill Location = (0, 0, 24); Message: Data Sent: E
07/07/2012 18:39:04: Drill Location = (0, 0, 24); Message: Data Sent: BZE
07/07/2012 18:39:05: Drill Location = (0, 0, 24); Message: Received: D
07/07/2012 18:39:05: Drill Location = (0, 0, 24); Message: Data Sent: B
07/07/2012 18:39:05: Drill Location = (0, 0, 24); Message: Data Sent: Z
07/07/2012 18:39:05: Drill Location = (0, 0, 25); Message: Data Sent: E
07/07/2012 18:39:05: Drill Location = (0, 0, 25); Message: Data Sent: BZE
07/07/2012 18:39:05: Drill Location = (0, 0, 25); Message: Received: D
07/07/2012 18:39:05: Drill Location = (0, 0, 25); Message: Data Sent: B
07/07/2012 18:39:05: Drill Location = (0, 0, 25); Message: Data Sent: Z
07/07/2012 18:39:05: Drill Location = (0, 0, 26); Message: Data Sent: E
07/07/2012 18:39:05: Drill Location = (0, 0, 26); Message: Data Sent: BZE
07/07/2012 18:39:06: Drill Location = (0, 0, 26); Message: Received: D
07/07/2012 18:39:06: Drill Location = (0, 0, 26); Message: Data Sent: B
07/07/2012 18:39:06: Drill Location = (0, 0, 26); Message: Data Sent: Z
07/07/2012 18:39:06: Drill Location = (0, 0, 27); Message: Data Sent: E
07/07/2012 18:39:06: Drill Location = (0, 0, 27); Message: Data Sent: BZE
07/07/2012 18:39:06: Drill Location = (0, 0, 27); Message: Received: D
